"treatment","day","datej","FA","FD","UA","UD"
0,1,0,4,0,0,0
3,1,0,0,1,0,2
0,1,0,5,0,0,0
5,1,0,0,2,0,0
1,1,0,0,2,0,1
2,1,0,0,0,0,1
2,1,0,0,0,0,2
5,1,0,0,1,0,0
4,1,0,0,5,0,0
3,1,0,0,1,0,1
2,1,0,0,4,0,1
5,1,0,1,0,0,3
1,1,0,0,0,0,2
0,1,0,5,0,0,0
4,1,0,0,5,0,4
1,1,0,0,2,0,1
5,1,0,0,7,0,0
0,1,0,3,0,0,0
3,1,0,0,0,0,1
2,1,0,0,5,0,0
0,2,2,1,0,0,0
3,2,2,0,14,0,0
0,2,2,24,0,1,0
5,2,2,1,19,2,9
4,2,2,0,6,0,6
1,2,2,0,9,0,0
2,2,2,0,1,0,0
5,2,2,0,2,1,2
1,2,2,0,3,0,0
4,2,2,0,7,0,6
3,2,2,0,4,0,0
2,2,2,0,8,0,4
3,2,2,0,6,0,3
1,2,2,0,2,0,2
0,2,2,3,0,4,0
4,2,2,0,1,0,0
1,2,2,1,0,0,3
5,2,2,7,16,7,14
0,2,2,4,1,29,1
3,2,2,0,0,0,2
2,2,2,0,10,0,3
4,2,2,0,5,0,0
0,3,4,3,0,4,0
3,3,4,0,0,0,3
0,3,4,18,0,6,0
5,3,4,2,3,3,4
4,3,4,0,7,0,1
1,3,4,0,3,0,1
2,3,4,1,0,0,0
2,3,4,0,1,0,0
5,3,4,0,0,0,2
1,3,4,0,4,0,0
4,3,4,0,1,0,0
3,3,4,0,4,0,2
2,3,4,0,9,0,1
3,3,4,0,2,0,2
5,3,4,6,5,1,1
1,3,4,0,1,0,0
0,3,4,5,2,0,0
4,3,4,0,9,0,3
1,3,4,0,4,0,5
5,3,4,3,3,3,5
0,3,4,4,0,9,0
3,3,4,0,2,0,18
2,3,4,0,4,0,4
4,3,4,0,5,0,1
0,4,7,1,0,0,0
3,4,7,0,0,0,4
0,4,7,2,0,0,0
5,4,7,0,11,0,0
4,4,7,0,6,0,1
1,4,7,0,7,0,1
2,4,7,0,1,0,3
2,4,7,0,1,0,0
5,4,7,0,1,0,0
1,4,7,0,0,0,1
4,4,7,0,4,0,2
3,4,7,0,3,0,0
2,4,7,0,2,0,2
3,4,7,0,25,0,4
5,4,7,4,1,0,1
1,4,7,0,0,0,2
0,4,7,4,0,2,0
4,4,7,0,5,0,0
1,4,7,0,0,0,1
5,4,7,6,2,0,0
0,4,7,1,0,1,0
3,4,7,0,0,0,2
2,4,7,0,18,0,3
4,4,7,0,0,1,1
0,5,9,7,1,0,0
3,5,9,0,0,0,5
0,5,9,1,0,0,0
5,5,9,0,2,1,1
4,5,9,0,6,0,0
1,5,9,0,8,0,2
2,5,9,0,5,0,1
2,5,9,0,3,0,0
5,5,9,1,4,1,2
1,5,9,0,1,0,0
4,5,9,0,3,0,4
3,5,9,0,1,0,4
2,5,9,0,0,0,3
3,5,9,0,6,0,0
5,5,9,14,3,1,0
1,5,9,0,2,0,2
0,5,9,7,0,0,0
4,5,9,0,3,0,1
1,5,9,0,5,0,0
5,5,9,3,3,7,8
0,5,9,11,0,2,1
3,5,9,0,0,0,1
2,5,9,0,2,0,10
4,5,9,0,4,0,33
0,6,11,3,0,1,0
3,6,11,0,0,0,1
0,6,11,6,0,2,0
5,6,11,0,2,0,2
4,6,11,0,7,0,0
1,6,11,0,0,0,1
2,6,11,0,3,0,0
5,6,11,1,1,0,5
1,6,11,0,4,0,2
4,6,11,0,3,0,0
2,6,11,0,2,0,3
3,6,11,0,8,0,5
5,6,11,0,1,0,2
1,6,11,0,9,0,0
0,6,11,2,0,1,0
4,6,11,0,6,0,3
1,6,11,0,2,0,0
5,6,11,4,0,2,1
0,6,11,7,1,0,0
3,6,11,0,4,0,1
2,6,11,0,3,0,4
4,6,11,0,8,0,16
3,7,14,0,1,0,1
0,7,14,9,0,0,0
5,7,14,1,6,1,10
4,7,14,0,3,0,0
1,7,14,0,0,0,2
2,7,14,0,1,0,1
2,7,14,0,11,0,1
5,7,14,0,5,0,1
1,7,14,0,1,0,0
4,7,14,0,5,0,3
2,7,14,0,1,0,6
3,7,14,0,13,0,1
5,7,14,2,2,0,0
1,7,14,0,2,0,0
0,7,14,37,2,0,0
4,7,14,0,4,1,1
1,7,14,0,5,0,2
5,7,14,1,1,1,3
0,7,14,2,0,0,0
3,7,14,0,2,0,2
2,7,14,1,13,0,2
4,7,14,0,2,0,2
0,8,16,0,0,1,0
5,8,16,3,2,0,0
4,8,16,0,2,0,1
1,8,16,0,6,0,0
2,8,16,0,1,0,0
2,8,16,0,22,0,4
5,8,16,3,3,1,1
1,8,16,0,3,0,0
4,8,16,0,0,0,4
3,8,16,0,4,0,0
2,8,16,0,0,0,2
3,8,16,0,7,0,13
5,8,16,0,22,0,3
1,8,16,0,5,0,1
0,8,16,8,0,1,0
4,8,16,0,5,0,5
1,8,16,0,6,0,3
5,8,16,4,4,0,0
0,8,16,0,0,4,0
3,8,16,0,0,0,1
2,8,16,0,1,0,7
4,8,16,0,0,3,0
0,9,18,2,0,5,0
3,9,18,0,0,0,1
0,9,18,0,0,1,0
5,9,18,0,0,0,3
4,9,18,0,3,0,9
1,9,18,0,1,0,4
2,9,18,0,0,0,3
2,9,18,0,0,1,1
5,9,18,2,1,2,1
1,9,18,0,1,0,13
4,9,18,0,9,0,4
3,9,18,0,0,0,2
2,9,18,0,2,1,0
3,9,18,0,3,0,6
5,9,18,0,0,1,4
1,9,18,0,0,0,11
0,9,18,12,0,6,0
4,9,18,0,10,0,3
1,9,18,0,2,0,1
5,9,18,0,1,0,4
0,9,18,1,0,1,0
3,9,18,0,0,1,0
2,9,18,0,5,0,4
4,9,18,0,1,3,3
0,10,21,1,0,0,0
3,10,21,0,0,0,1
0,10,21,3,0,0,0
4,10,21,0,2,0,1
1,10,21,0,1,0,0
2,10,21,0,3,0,3
2,10,21,0,5,0,0
5,10,21,1,1,1,1
1,10,21,0,8,0,2
4,10,21,2,5,3,6
3,10,21,0,0,0,2
2,10,21,1,4,0,2
3,10,21,0,14,0,1
5,10,21,6,0,3,0
1,10,21,0,7,0,2
0,10,21,5,1,21,1
4,10,21,0,11,1,1
1,10,21,0,0,0,1
5,10,21,3,1,1,1
0,10,21,2,1,1,1
3,10,21,0,3,1,1
2,10,21,1,1,0,1
4,10,21,0,4,0,0
0,11,23,5,1,1,1
3,11,23,0,2,0,1
0,11,23,3,7,1,1
5,11,23,5,2,3,3
4,11,23,0,4,0,0
1,11,23,0,4,0,0
2,11,23,0,4,0,0
2,11,23,0,0,0,1
5,11,23,1,3,0,0
4,11,23,0,9,0,5
3,11,23,0,5,0,1
2,11,23,0,6,0,0
3,11,23,1,11,0,0
5,11,23,8,0,2,1
1,11,23,1,5,1,1
0,11,23,8,1,18,0
4,11,23,0,4,1,15
1,11,23,0,10,0,0
5,11,23,0,5,0,0
0,11,23,4,1,2,0
3,11,23,0,2,0,3
2,11,23,0,18,1,3
4,11,23,0,1,0,2
0,12,25,14,0,0,0
3,12,25,0,4,1,0
0,12,25,2,0,4,0
5,12,25,11,0,11,0
4,12,25,1,4,0,3
1,12,25,0,1,0,0
2,12,25,0,3,1,1
2,12,25,0,4,0,0
5,12,25,3,4,3,6
1,12,25,0,4,0,4
4,12,25,0,0,0,7
3,12,25,0,7,0,3
